cntry,country,year,pop,unempl,gdp,gov_debt,date,imports,exports,debt_share_country,debt_share_year
LTU,Lithuania,2016,2.87,7.9,38.63103,15.54,2016-01-01,28.04627,28.57959,0.402267296523028,0.709314132389454
LUX,Luxembourg,2016,0.58,6.3,54.1949,10.85,2016-01-01,103.8033,123.5305,0.200203340166695,0.709314132389454
HUN,Hungary,2016,9.82,5.1,112.3994,83.66,2016-01-01,92.3866,103978,0.74431002300724,0.709314132389454
MLT,Malta,2016,0.44,4.7,9.89798,5766,2016-01-01,12.81812,13.99848,0.582543104754707,0.709314132389454
NLD,Netherlands,2016,17.03,6,697219,434.1,2016-01-01,486274,561977,0.622616423247215,0.709314132389454
AUT,Austria,2016,8.74,6,349493,295.7,2016-01-01,169.1863,182.4921,0.846082754161028,0.709314132389454
POL,Poland,2016,37.96,6.2,424.2684,228.2,2016-01-01,205.3267,221816,0.537867067167859,0.709314132389454
PRT,Portugal,2016,10.33,11.2,184.9312,241.1,2016-01-01,72.26171,74.47293,1.30372808914883,0.709314132389454
ROM,Romania,2016,19.76,5.9,169.5771,63.01,2016-01-01,71.77265,70.18147,0.371571397317209,0.709314132389454
SVN,Slovenia,2016,2.06,8,39.76908,31.68,2016-01-01,27.60751,31.44003,0.796598764668431,0.709314132389454
SVK,Slovakia,2016,5.43,9.7,80958,42.05,2016-01-01,72.92882,75.95045,0.519405123644359,0.709314132389454
FIN,Finland,2016,5.5,8.8,214062,136.1,2016-01-01,78262,75677,0.635797105511487,0.709314132389454
SWE,Sweden,2016,9.92,6.9,462.4167,190.6,2016-01-01,183.7653,205.1389,0.41218234549055,0.709314132389454
GBR,United Kingdom,2016,65.59,4.8,2366903,2022.2,2016-01-01,713.3961,668.2139,0.854365388019704,0.709314132389454
BEL,Belgium,2017,11.43,7.6,436.2802,460.9,2017-01-01,365.9176,380.3864,1.05643116510903,0.702208910261204
BGR,Bulgaria,2017,7.1,7,49.21357,13.2,2017-01-01,30.78053,32.01018,0.268218704719044,0.702208910261204
CZE,Czech Republic,2017,10.59,3.5,183.5915,66.5,2017-01-01,138.0585,151.0521,0.362217205044896,0.702208910261204
DNK,Denmark,2017,5.77,5.8,286.3466,105.2,2017-01-01,137.5157,157.1524,0.367386935972,0.702208910261204
DEU,Germany,2017,83.15,4,3228.44,2125.5,2017-01-01,1299492,1527946,0.65836832447662,0.702208910261204
EST,Estonia,2017,1.32,7.7,22.15976,2102,2017-01-01,17.33503,17.98378,0.0948566229959169,0.702208910261204
IRL,Ireland,2017,4.8,6.4,279.7174,205.7,2017-01-01,271.8579,336.1178,0.735385070789304,0.702208910261204
GRC,Greece,2017,10.78,22.8,181.6492,324.7,2017-01-01,59.25502,58.04085,1.78751131301432,0.702208910261204
ESP,Spain,2017,46.45,17.6,1156949,1147.2,2017-01-01,365.2444,396.8763,0.99157352657723,0.702208910261204
FRA,France,2017,67.1,9.9,2275277,2204.6,2017-01-01,736.6797,692.5744,0.968936968993226,0.702208910261204
HRV,Croatia,2017,4.15,11.6,48.06756,39.35,2017-01-01,24.31968,25.50209,0.818639431666596,0.702208910261204
ITA,Italy,2017,60.58,11.5,1701376,2265,2017-01-01,487.4838,533.7778,1.33127539121276,0.702208910261204
CYP,Cyprus,2017,0.85,11.7,18.48828,19.12,2017-01-01,11.75693,11.64656,1.03416867334333,0.702208910261204
LVA,Latvia,2017,1.95,9.2,26.61673,10.24,2017-01-01,16.13214,15.7119,0.38472043710854,0.702208910261204
LTU,Lithuania,2017,2.83,7.6,40.90972,17.36,2017-01-01,30.99193,31.10992,0.424349030010472,0.702208910261204
LUX,Luxembourg,2017,0.6,6.1,57.90043,12.73,2017-01-01,112.8598,134.0056,0.219860197929445,0.702208910261204
HUN,Hungary,2017,9.8,4.1,119.8168,86.93,2017-01-01,101.6889,111.3314,0.725524300431993,0.702208910261204
MLT,Malta,2017,0.44,4.9,10.51741,5866,2017-01-01,13.66252,14.88863,0.557741877515472,0.702208910261204
NLD,Netherlands,2017,17.14,4.9,718.4101,429.4,2017-01-01,526.9583,601.2717,0.597708746021249,0.702208910261204
AUT,Austria,2017,8.81,5.9,360335,298.3,2017-01-01,177.5949,191.0091,0.827840759293435,0.702208910261204
POL,Poland,2017,37.96,5.2,456.0235,249.2,2017-01-01,233.5727,248.5136,0.546463066048131,0.702208910261204
PRT,Portugal,2017,10.31,9.9,190.8794,245.2,2017-01-01,78.17003,79.63312,1.28458073527054,0.702208910261204
ROM,Romania,2017,19.58,5.4,178.3123,70.03,2017-01-01,80.99191,77.56367,0.392737909835721,0.702208910261204
SVN,Slovenia,2017,2.07,7.2,41.70708,32.43,2017-01-01,30.32594,34.19949,0.77756582335661,0.702208910261204
SVK,Slovakia,2017,5.43,8.6,84.03853,43.32,2017-01-01,79.1965,81.8675,0.51547784093796,0.702208910261204
FIN,Finland,2017,5.52,8.6,217.9116,142.7,2017-01-01,84.3476,80.80318,0.654852701737769,0.702208910261204
SWE,Sweden,2017,10.06,6.6,480.0698,187.8,2017-01-01,196.3698,221.1545,0.391193114001339,0.702208910261204
GBR,United Kingdom,2017,66.05,5,2357425,2089.3,2017-01-01,743.1786,692.2036,0.88626361390076,0.702208910261204
